"Tree_ID","Address","Tree_Species","Species_Desc","Common_Name","Age_Desc","Height","Spread","Trunk","Actual_Trunk_cm","Condition","Lat","Long"
43056,"Lissadel Grove, Malahide","ACPL","Acer platanoides","Norway Maple","Semi-Mature"," 15 metres","9 to 12 metres","31cm to 40cm",33,"Good",53.4529490301,-6.1878475517
43072,"Bayside Boulevard South, Sutton","ACPS","Acer pseudoplatanus","Sycamore","Semi-Mature","10 metres","6 to 9 metres","21cm to 30cm",24,"Fair to Good",53.3878745552,-6.138998473
28752,"Ridgewood Park, Swords","TISP","Tilia spp.","Lime","Young",NA,"Up to 3 metres","1cm - 10cm",6,"Good",53.4473451598,-6.2471747229
42492,"Temple Ville, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","3 to 6 metres","11cm to 20cm",20,"Good",53.6133188478,-6.1929799442
42564,"Temple Ville, Balbriggan","ACPS","Acer pseudoplatanus","Sycamore","Young","10 metres","3 to 6 metres","11cm to 20cm",14,"Fair",53.6133583412,-6.1944706801
17500,"Valley View, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","",0,"Fair to Good",53.4602229758,-6.2423027775
17504,"Valley View, Swords","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",29,"Fair to Good",53.4599785724,-6.2423649754
3040,"Beverton Grove, Donabate","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Young","10 metres","3 to 6 metres","11cm to 20cm",13,"Good",53.489437012,-6.159581256
32500,"Greenlawns, Skerries","ACPL","Acer platanoides","Norway Maple","Semi-Mature","10 metres","3 to 6 metres","21cm to 30cm",24,"Fair - Poor",53.5725726796,-6.114624492
20140,"Brookdale Road, Swords","STMP","Stump","Stump","",NA,"","",0,"",53.452109476,-6.2492454288
20832,"Brookdale Park, Swords","SOAU","Sorbus aucuparia","Rowan (Mountain Ash)","Semi-Mature",NA,"3 to 6 metres","11cm to 20cm",17,"Fair to Good",53.452672811,-6.2481241828
18284,"Milesian Grove, Swords","TICO","Tilia cordata","Small-Leafed Lime","Semi-Mature"," 15 metres","6 to 9 metres","21cm to 30cm",28,"Fair to Good",53.4518848661,-6.206732575
122768,"Huntstown Court, Blanchardstown","AAAA","Suitable location","","",NA,"","",0,"Good",53.4003429032,-6.411618382
41624,"Abington, Malahide","TICO","Tilia cordata","Small-Leafed Lime","Young",NA,"Up to 3 metres","1cm - 10cm",9,"Good",53.447252048,-6.1804701377
